UserName,UserID,Datetime,ReadableDateTime,hashtag_keywords,nonhashtag,mentions,Lat,Long,SourcePlatform
Qing Pineda,182727256.0,1451729340,3:39 PM - 2 Jan 2016,[],"['That', 'ceiling', 'details,', 'still', 'exploring', 'mode', ""that's"", 'homesickness', 'sinking', 'at\xe2\x80\xa6']",[],24.46667,54.36666999999999,instagram
AYB,252937104.0,1451727540,3:09 PM - 2 Jan 2016,[],"['Dhabi', '\xd8\xa3\xd8\xa8\xd9\x88\xd8\xb8\xd8\xa8\xd9\x8a', 'Dhabi']",['@abudhabilife'],24.46667,54.36666999999999,swarmapp
OrLaN,100298607.0,1451727180,3:03 PM - 2 Jan 2016,[],"['moment', 'when', 'about', 'everybody', 'shut', 'camera', 'good', 'angle', 'Abu\xe2\x80\xa6']",[],24.46667,54.36666999999999,instagram
yedna™.,121198656.0,1451725080,2:28 PM - 2 Jan 2016,"['#tennisidols', '#goodluck']","['Maria', 'Sharapova', 'Roger', 'Federer', 'Brisbane,', 'Australia.', 'Dhabi,\xe2\x80\xa6']",[],24.46667,54.36666999999999,instagram
The Female Boss,169448148.0,1451724540,2:19 PM - 2 Jan 2016,[],"['Gamau', 'balikkk!!', 'Harus', 'kuliah', 'besok', '[pic]']",['@auh'],24.46667,54.36666999999999,
Omar Alketbi,2503379677.0,1451724420,2:17 PM - 2 Jan 2016,"['#uae', '#ad', '#mydubai', '#alain', '#etihad']","['somewhere', '\xd8\xa3\xd8\xb3\xd8\xaa\xd9\x88\xd8\xaf\xd8\xb9\xd9\x83\xd9\x85', '\xd8\xa7\xd9\x84\xd9\x84\xd9\x87', '\xd8\xa7\xd9\x84\xd8\xb0\xd9\x8a', '\xd9\x84\xd8\xa7', '\xd8\xaa\xd8\xb8\xd9\x8a\xd8\xb9', '\xd9\x88\xd8\xaf\xd8\xa7\xd8\xa6\xd8\xb9\xd8\xa9']",[],24.46667,54.36666999999999,instagram
immichelleph,76888373.0,1451723820,2:07 PM - 2 Jan 2016,"['#roundtwo', '#chivas']","['Tourist', 'Club', 'Area,', 'Dhabi,']",[],24.46667,54.36666999999999,instagram
Yaïsa Demeulemeester,2540455085.0,1451723640,2:04 PM - 2 Jan 2016,[],"['Wzin', 'Gate', 'Dhabi)']",[],24.46667,54.36666999999999,swarmapp
patrick,1367060563.0,1451723520,2:02 PM - 2 Jan 2016,[],"['Ferrari', 'World', 'Ferrari', 'World']",[],24.46667,54.36666999999999,instagram
Irsta Aliyani Akbar,281373662.0,1451723100,1:55 PM - 2 Jan 2016,[],"['Bismillah', '(with', 'Intan', 'Dian', '[pic]']",['@auh'],24.46667,54.36666999999999,
Yaïsa Demeulemeester,2540455085.0,1451722860,1:51 PM - 2 Jan 2016,[],"['Wzitn', '4uurn..', 'Dhabi', 'International', 'Airport', '(AUH)', '\xd9\x85\xd8\xb7\xd8\xa7\xd8\xb1', '\xd8\xa3\xd8\xa8\xd9\x88', '\xd8\xb8\xd8\xa8\xd9\x8a', '\xd8\xa7\xd9\x84\xd8\xaf\xd9\x88\xd9\x84\xd9\x8a', 'Dhabi)']",['@auh'],24.46667,54.36666999999999,swarmapp
Yeoj Lorico,247130661.0,1451722740,1:49 PM - 2 Jan 2016,[],"['Peace', 'sign', 'clear', 'mind.', '2016', 'ready', 'you.', 'Abu\xe2\x80\xa6']",[],24.46667,54.36666999999999,instagram
hamdaa.,3160159933.0,1451722560,1:46 PM - 2 Jan 2016,[],"['Dhabi', 'International', 'Airport', '(AUH)', '\xd9\x85\xd8\xb7\xd8\xa7\xd8\xb1', '\xd8\xa3\xd8\xa8\xd9\x88', '\xd8\xb8\xd8\xa8\xd9\x8a', '\xd8\xa7\xd9\x84\xd8\xaf\xd9\x88\xd9\x84\xd9\x8a', 'Dhabi']",['@auh'],24.46667,54.36666999999999,
yed,1011085045.0,1451722140,1:39 PM - 2 Jan 2016,[],"['Dhabi', '020116', 'Mussaffah', 'shabiya', 'dhabi']",[],24.46667,54.36666999999999,instagram
فيصل الرخيص,2525493409.0,1451721960,1:36 PM - 2 Jan 2016,[],"['last', 'stop', 'then', 'Italia', 'Dhabi', 'International', 'Airport', '(AUH)', '\xd9\x85\xd8\xb7\xd8\xa7\xd8\xb1', '\xd8\xa3\xd8\xa8\xd9\x88', '\xd8\xb8\xd8\xa8\xd9\x8a', '\xd8\xa7\xd9\x84\xd8\xaf\xd9\x88\xd9\x84\xd9\x8a', 'Dhabi)']",['@auh'],24.46667,54.36666999999999,
sa-ge 🎃,520508881.0,1451721840,1:34 PM - 2 Jan 2016,[],"['hate', 'goodbyes', 'Abudhabi', 'International', 'Airport', 'Terminal']",[],24.46667,54.36666999999999,instagram
Joo Ju,60038097.0,1451721540,1:29 PM - 2 Jan 2016,[],"['Zaatar', 'Zeit', '\xd8\xb2\xd8\xb9\xd8\xaa\xd8\xb1', '\xd8\xb2\xd9\x8a\xd8\xaa', 'Dhabi']",[],24.46667,54.36666999999999,swarmapp
ann lahoz,175692937.0,1451721480,1:28 PM - 2 Jan 2016,"['#walking', '#pantanggalstress', '#corniche']","['Breather', 'with', 'these', 'people']",[],24.46667,54.36666999999999,instagram
محمد الزعابي,746209956.0,1451721300,1:25 PM - 2 Jan 2016,"['#rc', '#rccar', '#rcuae', '#rcdrag', '#rcrak', '#rcdrift', '#uaerc', '#rckiller', '#rc_power_team', '#rc_hobby_home']",[],[],24.46667,54.36666999999999,instagram
Faidza L. Habib 🌸👗,547594151.0,1451721000,1:20 PM - 2 Jan 2016,[],"['MashaAllah', 'cute', 'tlaga', 'Baby', 'Tisha', 'lynncandid..see', 'soon', 'in\xe2\x80\xa6']",[],24.46667,54.36666999999999,instagram
Akbar Sukasdi °F,47614061.0,1451719620,12:57 PM - 2 Jan 2016,[],[],['@auh'],24.46667,54.36666999999999,
Arjay L. Genavia,79421846.0,1451719560,12:56 PM - 2 Jan 2016,[],"['Indeed', 'fantastic', 'night!', 'Thanks', 'bigbro', 'Davie!', 'Bagel', 'Vision', 'Tower']",['@rrrockon'],24.46667,54.36666999999999,instagram
Carl_Adrielle,441394140.0,1451719500,12:55 PM - 2 Jan 2016,[],"['Jebel', 'Hafeet,', 'Ain,', 'dhabi']",[],24.46667,54.36666999999999,instagram
Yolanda Yu,352876093.0,1451719440,12:54 PM - 2 Jan 2016,[],"['Emirate', 'Palace', 'Hotel,', 'Dhabi.', 'Emirates', 'Palace', 'Hotel,', 'Abudhabi']",[],24.46667,54.36666999999999,instagram
Farrah Coronel,3035136077.0,1451719080,12:48 PM - 2 Jan 2016,['#hny2016'],"['Happy', 'year', 'Najda', 'Street']",[],24.46667,54.36666999999999,instagram
A.khalil,466848055.0,1451719020,12:47 PM - 2 Jan 2016,[],"['\xd8\xa7\xd8\xad\xd9\x84\xd9\x89', '\xd8\xb3\xd9\x84\xd9\x81\xd9\x8a', '\xd9\x85\xd8\xb9', '\xd8\xa7\xd8\xae\xd9\x88\xd8\xa7\xd9\x86\xd9\x8a', '\xd8\xad\xd8\xb3\xd9\x8a\xd9\x86', '\xd9\x81\xd8\xa7\xd8\xb6\xd9\x84', '\xd9\x88\xd8\xb9\xd8\xa7\xd8\xaf\xd9\x84', '\xd8\xb9\xd8\xa8\xd8\xaf\xd8\xa7\xd9\x84\xd9\x84\xd9\x87', '\xd9\x88\xd8\xb3\xd8\xb9\xd9\x8a\xd8\xaf', '\xd9\x85\xd8\xba\xd8\xa7\xd9\x85\xd8\xb1', '\xd8\xb1\xd9\x81\xd8\xa7\xd9\x82\xe2\x80\xa6']",[],24.46667,54.36666999999999,instagram
Carl_Adrielle,441394140.0,1451718900,12:45 PM - 2 Jan 2016,['#jebelhafeet'],"['Jebel', 'Hafeet,', 'Ain,', 'dhabi']",[],24.46667,54.36666999999999,instagram
richie Kent Nsooboo,1171419134.0,1451718900,12:45 PM - 2 Jan 2016,[],"['When', 'bwoys', 'meet', 'again', 'Nice', 'hunging', 'with', 'hommie\xe2\x80\xa6']",[],24.46667,54.36666999999999,instagram
Caline Boghos,240162159.0,1451718900,12:45 PM - 2 Jan 2016,['#mafimetlo'],"['Throwback', 'hilarious', 'night', 'watching', 'mafi', 'metlo', 'show', 'live', 'dhabi!']",[],24.46667,54.36666999999999,instagram
sunith paul,2273438334.0,1451718900,12:45 PM - 2 Jan 2016,[],"['Good', 'morning', 'flws']",[],24.46667,54.36666999999999,
Farrah Coronel,3035136077.0,1451718900,12:45 PM - 2 Jan 2016,['#hny2016'],"['Happy', 'year', 'Najda', 'Street,', 'Near', 'Mariah', 'Mall']",[],24.46667,54.36666999999999,instagram
Jimbo Justo,192176418.0,1451718180,12:33 PM - 2 Jan 2016,[],"['Mamimiss', 'toh....', 'Goodluck', 'your', 'career', 'life\xe2\x80\xa6']",[],24.46667,54.36666999999999,instagram
immichelleph,76888373.0,1451717880,12:28 PM - 2 Jan 2016,['#cheerstothefreakinweekend'],"['Tourist', 'Club', 'Area,', 'Dhabi,']",[],24.46667,54.36666999999999,instagram
Katerina Ponti,36929780.0,1451716980,12:13 PM - 2 Jan 2016,[],"['largest', 'Persian', 'Rugs', 'world-', 'size', 'soccer\xe2\x80\xa6']",[],24.46667,54.36666999999999,instagram
Rua'a,1626229536.0,1451716740,12:09 PM - 2 Jan 2016,[],['OnetoOne'],[],24.46667,54.36666999999999,instagram
Riią.,1420854013.0,1451716620,12:07 PM - 2 Jan 2016,[],"['\xd9\x82\xd9\x8a\xd9\x84', '\xd8\xa3\xd9\x86', '\xd8\xa7\xd9\x84\xd8\xa5\xd8\xb3\xd9\x84\xd8\xa7\xd9\x85', '\xd9\x86\xd8\xa7\xd9\x82\xd8\xb5', '\xd9\x82\xd9\x8a\xd9\x84', '\xd8\xa3\xd9\x86', '\xd8\xa7\xd9\x84\xd8\xb1\xd8\xb3\xd9\x88\xd9\x84', '\xd9\x83\xd8\xa7\xd9\x87\xd9\x86', '\xd9\x82\xd9\x8a\xd9\x84', '\xd8\xa3\xd9\x86', '\xd9\x8a\xd8\xaf\xd9\x8f', '\xd8\xa7\xd9\x84\xd9\x84\xd9\x87', '\xd9\x85\xd8\xba\xd9\x84\xd9\x88\xd9\x84\xd8\xa9', '\xd8\xa3\xd9\x83\xd8\xa8\xd9\x8a\xd8\xb1\xd8\xa9', '\xd8\xa3\xd9\x86', '\xd9\x8a\xd9\x82\xd8\xa7\xd9\x84', '\xd8\xb9\xd9\x86\xd9\x83', '\xd9\x85\xd8\xa7', '\xd9\x84\xd9\x8a\xd8\xb3', '\xd9\x81\xd9\x8a\xd9\x83']",[],24.46667,54.36666999999999,
Tricia Campbell,25860964.0,1451716620,12:07 PM - 2 Jan 2016,[],"['Feel', 'fear', 'anyway"".""']",[],24.46667,54.36666999999999,
nina bautista,361854254.0,1451716500,12:05 PM - 2 Jan 2016,"['#goodnight', '#instagram', '#1']","['15th', 'st,6', 'villa', 'khalifa', 'city']",[],24.46667,54.36666999999999,instagram
Rachel Morris,2463228421.0,1451716500,12:05 PM - 2 Jan 2016,"['#Abudhabi', '#emiratespalace']","['Emirates', 'Palace']",[],24.46667,54.36666999999999,instagram
Fabian,16718822.0,1451716440,12:04 PM - 2 Jan 2016,"['#AbuDhabi', '#latergram']","['Imposant', 'allem', 'kulturell', 'Erlebnis.', 'Sheikh', 'Zayed', 'Mosque']",[],24.46667,54.36666999999999,instagram
Dex Sweat,196852898.0,1451643240,3:44 PM - 1 Jan 2016,[],"['Mood', '2016.', 'Island']",[],24.46667,54.36666999999999,instagram
CatherineMarieSantos,395726105.0,1451643060,3:41 PM - 1 Jan 2016,[],"['366.', 'go!!', 'Manila!', 'Abudhabi', 'International', 'Airport', 'Terminal']",[],24.46667,54.36666999999999,instagram
Dex Sweat,196852898.0,1451642940,3:39 PM - 1 Jan 2016,[],"['Bull', 'Marina,', 'Grand', 'Prix', 'Circuit,', 'Dhabi']",[],24.46667,54.36666999999999,instagram
CatherineMarieSantos,395726105.0,1451642760,3:36 PM - 1 Jan 2016,[],"['366.', 'later', 'MNL!!', 'Abudhabi', 'International', 'Airport', 'Terminal']",[],24.46667,54.36666999999999,instagram
Dex Sweat,196852898.0,1451642640,3:34 PM - 1 Jan 2016,[],"['Just', 'posted', 'photo', 'Island']",[],24.46667,54.36666999999999,instagram
K'rölL Riz,41795436.0,1451642520,3:32 PM - 1 Jan 2016,['#muhasabahdiri'],"['Baiti', 'Jannati,', 'Tourist', 'Club,', 'Dhabi.']",[],24.46667,54.36666999999999,instagram
rainier regidor,549898317.0,1451641320,3:12 PM - 1 Jan 2016,[],"['Unexpectedly', 'another', 'idol.', 'Hulk', 'Hogan', 'house', 'too!', 'same', 'almost\xe2\x80\xa6']",[],24.46667,54.36666999999999,instagram
Daniel ...,356086133.0,1451640540,2:59 PM - 1 Jan 2016,"['#LMFAO', '#Dancegroove', '#funky']","['killing', 'Bustan', 'Towers']",[],24.46667,54.36666999999999,instagram
GraciaTenor,469398942.0,1451640300,2:55 PM - 1 Jan 2016,[],"['Jadi', 'kapan', 'kita', 'pacaran', 'Visit', 'Dhabi']",[],24.46667,54.36666999999999,instagram
Tareq Mhd 🇸🇾,2238974137.0,1451640120,2:52 PM - 1 Jan 2016,[],"['Just', 'posted', 'photo', 'Dhabi,', 'United', 'Arab', 'Emirates']",[],24.46667,54.36666999999999,instagram
monasabat events,717475172.0,1451639040,2:34 PM - 1 Jan 2016,[],"['\xd9\x85\xd9\x86\xd8\xa7\xd8\xb3\xd8\xa8\xd8\xa7\xd8\xaa', '\xd9\x84\xd8\xaa\xd9\x86\xd8\xb8\xd9\x8a\xd9\x85', '\xd8\xa7\xd9\x84\xd8\xad\xd9\x81\xd9\x84\xd8\xa7\xd8\xaa', '\xd9\x82\xd9\x86\xd8\xa7\xd8\xb9\xd8\xa9', '\xd8\xab\xd9\x85', '\xd8\xa7\xd8\xa8\xd8\xaa\xd8\xb3\xd8\xa7\xd9\x85\xd8\xa9', '\xd9\x84\xd8\xa7', '\xd8\xaa\xd8\xad\xd8\xaa\xd8\xa7\xd8\xac', '\xd8\xa7\xd9\x84\xd8\xad\xd9\x8a\xd8\xa7\xd8\xa9', '\xd8\xa3\xd9\x83\xd8\xab\xd8\xb1', '\xd9\x85\xd9\x86', '\xd8\xb0\xd9\x84\xd9\x83', '\xd9\x8a\xd8\xb3\xd8\xb9\xd8\xaf', '\xd8\xa7\xd9\x8a\xd8\xa7\xd8\xa7\xd8\xa7\xd9\x85\xd9\x83\xd9\x85', 'Monasabat\xe2\x80\xa6']",[],24.46667,54.36666999999999,instagram
Sarper Demirci,95131953.0,1451638980,2:33 PM - 1 Jan 2016,"['#yalan', '#life', '#fenayiz', '#yaw']","['Reem', 'Island', 'Marina', 'Square']",[],24.46667,54.36666999999999,instagram
Mars Lanuza,36857862.0,1451638560,2:26 PM - 1 Jan 2016,[],"['Because', 'just', 'like', 'past', 'years,', '2016', 'will', 'year', 'selfies.', 'Dhabi,', 'United', 'Arab\xe2\x80\xa6']",[],24.46667,54.36666999999999,instagram
Zerah Arkoncel,579639588.0,1451638500,2:25 PM - 1 Jan 2016,[],"[""Can't"", 'sleep.', 'Puyat', 'nanaman.']",[],24.46667,54.36666999999999,
Mohannad Rizeq,140061028.0,1451638260,2:21 PM - 1 Jan 2016,"['#dubai', '#mustang', '#mustangfanclub', '#dxb']",['with'],['@reallove18'],24.46667,54.36666999999999,instagram
Loren Mischa Samedra,151085913.0,1451638140,2:19 PM - 1 Jan 2016,"['#icecream', '#gelato', '#ferrariworld', '#ohyes', '#foodporn', '#freezingcold']",[],[],24.46667,54.36666999999999,instagram
Layla.,390614232.0,1451638080,2:18 PM - 1 Jan 2016,[],"[""Let's"", 'real;', 'only', 'thing', ""that's"", 'changed', 'last', 'digit.', 'Nikon', 'D3300', 'AF-S', 'Nikkor\xe2\x80\xa6']",[],24.46667,54.36666999999999,instagram
Sarper Demirci,95131953.0,1451637780,2:13 PM - 1 Jan 2016,"['#bobandbono', '#biznapioruz', '#antebinkalesine', '#nealaka', '#coktazeymisama']",[],[],24.46667,54.36666999999999,instagram
Ale The Great,22306263.0,1451637720,2:12 PM - 1 Jan 2016,[],"['Heroes', 'Dhabi']",[],24.46667,54.36666999999999,
Abu Dhabi Weather,253134186.0,1451637660,2:11 PM - 1 Jan 2016,[],"['temperature', 'down', '23\xc2\xb0C', '22\xc2\xb0C', 'humidity', 'down', 'wind', '3km/h', '10km/h', 'pressure', '1015mb', 'falling']",[],24.46667,54.36666999999999,
kırık,486253393.0,1451637120,2:02 PM - 1 Jan 2016,[],"['\xd9\x83\xd9\x84', '\xd8\xb9\xd8\xa7\xd9\x85', '\xd8\xa7\xd9\x86\xd8\xaa\xd9\x88', '\xd8\xa8\xd8\xae\xd9\x8a\xd8\xb1', '\xd8\xa8\xd8\xb5\xd8\xad\xd9\x87', '\xd8\xb3\xd9\x84\xd8\xa7\xd9\x85\xd9\x87', '\xd8\xb9\xd8\xb3\xd9\x89', '\xd8\xb3\xd9\x86\xd9\x8a\xd9\x86\xd9\x83\xd9\x85', '\xd8\xa7\xd8\xac\xd9\x85\xd9\x84', '\xd8\xa7\xd9\x81\xd8\xb5\xd9\x84', 'Dhabi,', 'United', 'Arab\xe2\x80\xa6']",[],24.46667,54.36666999999999,instagram
salem alromaithi,1108528854.0,1451636580,1:53 PM - 1 Jan 2016,[],"['Dilwale', 'Bajirao', 'Mastani', 'First', 'OFFICE', 'Collection']",[],24.46667,54.36666999999999,
yedna™.,121198656.0,1451636580,1:53 PM - 1 Jan 2016,"['#Royale', '#Goal2016', '#RoadsToMillion', '#JourneyToGreatness']","['Dhabi,', 'United', 'Arab', 'Emirates']",[],24.46667,54.36666999999999,instagram
devy ipac naguiat,257408653.0,1451636400,1:50 PM - 1 Jan 2016,[],"['Electra', 'Street,', 'Tourist', 'Club', 'Dhabi']",[],24.46667,54.36666999999999,instagram
